Date,指数代码 Index Code,IndexName,指数英文名称Index Name(Eng),Code,Name,Name(Eng),Exchange,Exchange(Eng),weight
20220429,000300,沪深300,CSI 300,300033,同花顺,"Hithink Royalflush Information Network Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.098
20220429,000300,沪深300,CSI 300,601857,中国石油,PetroChina Co Ltd,上海证券交易所,Shanghai  Exchange,0.289
20220429,000300,沪深300,CSI 300,601186,中国铁建,China Railway Construction Co Ltd,上海证券交易所,Shanghai  Exchange,0.214
20220429,000300,沪深300,CSI 300,601939,建设银行,China Construction Bank,上海证券交易所,Shanghai  Exchange,0.225
20220429,000300,沪深300,CSI 300,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,上海证券交易所,Shanghai  Exchange,2.667
20220429,000300,沪深300,CSI 300,002129,中环股份,"Tianjin Zhonghuan Semiconductor Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.488
20220429,000300,沪深300,CSI 300,601006,大秦铁路,Daqin Railway Co Ltd,上海证券交易所,Shanghai  Exchange,0.219
20220429,000300,沪深300,CSI 300,002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.096
20220429,000300,沪深300,CSI 300,601377,兴业证券,Industrial Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.193
20220429,000300,沪深300,CSI 300,000800,一汽解放,"FAW Jiefang Group Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.042
20220429,000300,沪深300,CSI 300,002371,北方华创,"NAURA Technology Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.347
20220429,000300,沪深300,CSI 300,002241,歌尔股份,GoerTek Inc,深圳证券交易所,Shenzhen  Exchange,0.463
20220429,000300,沪深300,CSI 300,002311,海大集团,Guangdong Haid Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.283
20220429,000300,沪深300,CSI 300,601328,交通银行,Bank of Communications Co LTD,上海证券交易所,Shanghai  Exchange,0.771
20220429,000300,沪深300,CSI 300,601169,北京银行,Bank of Beijing Co Ltd,上海证券交易所,Shanghai  Exchange,0.374
20220429,000300,沪深300,CSI 300,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.285
